brand_name,shoe_type,Condition 1_median_price,Condition 2_median_price,Condition 3_median_price,Condition 4–5_median_price,Condition 1_listing_count,Condition 2_listing_count,Condition 3_listing_count,Condition 4–5_listing_count,condition_2_retention_percent,condition_3_retention_percent,condition_4_5_retention_percent,condition_pattern
ALDO,Boots,46.0,31.0,23.0,12.0,13.0,31.0,52.0,9.0,67.3913043478261,50.0,,Expected decline pattern
ALDO,Pumps,31.0,20.0,20.0,14.0,11.0,41.0,78.0,9.0,64.51612903225806,64.51612903225806,,Expected decline pattern
ASICS,Athletic,48.0,31.0,24.0,16.0,42.0,83.0,184.0,20.0,64.58333333333334,50.0,33.33333333333333,Expected decline pattern
Adidas,Athletic,106.0,56.0,33.0,19.0,454.0,309.0,352.0,26.0,52.83018867924528,31.132075471698112,17.92452830188679,Expected decline pattern
Adidas,Fashion Sneakers,66.0,51.0,41.0,18.0,203.0,183.0,271.0,25.0,77.27272727272727,62.121212121212125,27.27272727272727,Expected decline pattern
Adidas,Sandals,28.0,21.0,14.0,15.0,25.0,23.0,41.0,3.0,75.0,50.0,,Expected decline pattern
American Eagle,Boots,22.0,21.0,17.0,15.0,17.0,32.0,50.0,5.0,95.45454545454545,77.27272727272727,,Expected decline pattern
American Eagle,Flats,12.0,12.0,10.0,13.0,15.0,21.0,51.0,2.0,100.0,83.33333333333334,,Expected decline pattern
American Eagle,Sandals,16.0,14.0,12.0,9.5,46.0,91.0,113.0,8.0,87.5,75.0,,Expected decline pattern
Ariat,Boots,71.0,59.0,48.0,31.0,25.0,53.0,112.0,12.0,83.09859154929578,67.6056338028169,43.66197183098591,Expected decline pattern
BCBGeneration,Pumps,33.0,21.0,16.0,13.0,13.0,25.0,40.0,4.0,63.63636363636363,48.484848484848484,,Expected decline pattern
Birkenstock,Sandals,78.0,61.0,46.0,26.0,129.0,166.0,471.0,82.0,78.2051282051282,58.97435897435898,33.33333333333333,Expected decline pattern
Brooks,Athletic,58.0,40.0,26.0,19.0,10.0,34.0,67.0,12.0,68.96551724137932,44.827586206896555,32.758620689655174,Expected decline pattern
Chaco,Sandals,60.5,56.0,56.0,30.5,16.0,59.0,193.0,12.0,92.56198347107438,92.56198347107438,50.413223140495866,Expected decline pattern
Chanel,Flats,173.5,80.0,102.5,64.5,12.0,11.0,12.0,8.0,46.10951008645533,59.0778097982709,,Expected decline pattern
Charlotte Russe,Boots,26.0,21.0,17.0,14.0,93.0,131.0,142.0,7.0,80.76923076923077,65.38461538461539,,Expected decline pattern
Charlotte Russe,Flats,14.0,13.0,10.0,8.0,20.0,23.0,22.0,3.0,92.85714285714286,71.42857142857143,,Expected decline pattern
Charlotte Russe,Pumps,18.0,18.0,15.0,10.5,79.0,174.0,163.0,16.0,100.0,83.33333333333334,58.333333333333336,Expected decline pattern
Charlotte Russe,Sandals,15.0,13.0,12.0,11.0,68.0,57.0,59.0,10.0,86.66666666666667,80.0,73.33333333333333,Expected decline pattern
Christian Louboutin,Pumps,106.0,161.0,225.0,131.0,47.0,61.0,131.0,17.0,151.88679245283018,212.26415094339623,123.58490566037736,Non-monotonic price pattern
Coach,Boots,82.0,49.0,40.0,22.5,23.0,53.0,97.0,14.0,59.756097560975604,48.78048780487805,27.439024390243905,Expected decline pattern
Coach,Fashion Sneakers,37.5,30.0,24.0,16.0,40.0,111.0,277.0,46.0,80.0,64.0,42.66666666666667,Expected decline pattern
Coach,Flats,33.5,29.5,23.0,16.0,36.0,48.0,77.0,9.0,88.05970149253731,68.65671641791045,,Expected decline pattern
Coach,Loafers & Slip-Ons,36.0,35.0,26.0,15.0,45.0,45.0,67.0,12.0,97.22222222222221,72.22222222222221,41.66666666666667,Expected decline pattern
Coach,Pumps,48.0,25.0,30.5,16.0,12.0,18.0,36.0,8.0,52.083333333333336,63.541666666666664,,Expected decline pattern
Coach,Sandals,31.0,25.0,21.0,16.0,46.0,80.0,156.0,16.0,80.64516129032258,67.74193548387096,51.61290322580645,Expected decline pattern
Converse,Athletic,27.0,28.0,21.0,20.0,12.0,29.0,68.0,5.0,103.7037037037037,77.77777777777779,,Non-monotonic price pattern
Converse,Fashion Sneakers,36.0,30.0,24.0,16.0,420.0,784.0,1562.0,284.0,83.33333333333334,66.66666666666666,44.44444444444444,Expected decline pattern
Converse Shoes,Fashion Sneakers,30.0,27.0,23.0,14.0,10.0,32.0,83.0,7.0,90.0,76.66666666666667,,Expected decline pattern
Crocs,Loafers & Slip-Ons,19.5,16.0,14.0,11.0,18.0,47.0,70.0,7.0,82.05128205128204,71.7948717948718,,Expected decline pattern
Crocs,Sandals,20.0,14.5,14.0,10.0,23.0,62.0,83.0,4.0,72.5,70.0,,Expected decline pattern
Dolce Vita,Boots,44.0,30.0,30.0,9.0,10.0,16.0,29.0,1.0,68.18181818181817,68.18181818181817,,Expected decline pattern
Dr. Martens,Boots,66.0,56.0,46.0,28.0,37.0,132.0,201.0,26.0,84.84848484848484,69.6969696969697,42.42424242424242,Expected decline pattern
FOREVER 21,Boots,22.0,18.5,16.0,13.5,58.0,110.0,141.0,10.0,84.0909090909091,72.72727272727273,61.36363636363637,Expected decline pattern
FOREVER 21,Flats,14.0,12.0,10.0,11.0,38.0,34.0,39.0,3.0,85.71428571428571,71.42857142857143,,Expected decline pattern
FOREVER 21,Pumps,17.0,16.0,14.0,12.0,32.0,60.0,82.0,11.0,94.11764705882352,82.35294117647058,70.58823529411765,Expected decline pattern
FOREVER 21,Sandals,19.0,14.0,13.0,10.5,39.0,65.0,74.0,6.0,73.68421052631578,68.42105263157895,,Expected decline pattern
Fila,Athletic,26.0,17.0,16.0,,15.0,26.0,19.0,,65.38461538461539,61.53846153846154,,Expected decline pattern
Free People,Boots,85.5,55.0,65.0,42.0,28.0,23.0,36.0,3.0,64.32748538011695,76.0233918128655,,Expected decline pattern
Free People,Sandals,46.5,35.0,54.5,,18.0,19.0,14.0,,75.26881720430107,117.20430107526883,,Non-monotonic price pattern
Frye,Boots,123.0,106.0,79.0,54.0,26.0,51.0,121.0,11.0,86.1788617886179,64.22764227642277,43.90243902439025,Expected decline pattern
GUESS,Boots,33.0,21.5,22.0,18.0,16.0,32.0,39.0,9.0,65.15151515151516,66.66666666666666,,Expected decline pattern
GUESS,Sandals,23.0,15.5,13.5,10.5,15.0,22.0,44.0,4.0,67.3913043478261,58.69565217391305,,Expected decline pattern
Gucci,Sandals,100.0,116.0,85.0,35.0,19.0,16.0,27.0,8.0,115.99999999999999,85.0,,Non-monotonic price pattern
Hunter,Boots,96.0,85.0,72.0,46.0,95.0,159.0,302.0,25.0,88.54166666666666,75.0,47.91666666666667,Expected decline pattern
Hunter Boots,Boots,74.0,73.5,59.0,36.0,13.0,32.0,58.0,9.0,99.32432432432432,79.72972972972973,,Expected decline pattern
