brand_name,price_tier,listing_count,resale_strength,median_price,relative_price_spread,condition_resilience,qualifying_shoe_types,resale_strength_score,consistency_score,resilience_score,overall_score,tier_rank,evidence_level
ALDO,Mid-Market,363,0.9199999999999999,21.0,0.6666666666666666,0.5725806451612903,2.0,50.877192982456144,36.84210526315789,39.39393939393939,42.37107921318447,25,Moderate
ASICS,Mid-Market,335,0.85,26.0,0.6923076923076923,0.5,1.0,35.08771929824561,28.947368421052634,18.181818181818183,27.405635300372143,29,Limited
Adidas,Premium,1965,0.9756097560975611,51.0,1.0980392156862746,0.5,3.0,41.37931034482759,27.586206896551722,8.695652173913043,25.887056471764115,22,Moderate
American Eagle,Value,500,1.0,14.0,0.6428571428571429,0.7727272727272727,3.0,45.0,15.0,63.63636363636363,41.21212121212121,9,Moderate
Ariat,Premium,207,0.8428571428571429,51.0,0.5294117647058824,0.676056338028169,1.0,24.137931034482758,86.20689655172413,43.47826086956522,51.2743628185907,14,Limited
BCBGeneration,Mid-Market,167,0.8888888888888888,20.0,0.7,0.48484848484848486,1.0,43.859649122807014,25.438596491228072,12.121212121212121,27.139819245082403,30,Limited
Birkenstock,Premium,864,1.1086956521739129,49.0,0.673469387755102,0.5897435897435898,1.0,51.724137931034484,68.96551724137932,26.08695652173913,48.92553723138431,15,Limited
Brooks,Mid-Market,127,0.9285714285714286,30.0,0.6333333333333333,0.4482758620689655,1.0,53.50877192982456,47.368421052631575,9.090909090909092,36.656034024455074,26,Limited
Chaco,Premium,281,1.217391304347826,56.0,0.4107142857142857,0.9256198347107438,1.0,62.06896551724138,96.55172413793103,82.6086956521739,80.40979510244877,1,Limited
Chanel,Premium,102,2.2551369863013697,106.0,1.1839622641509433,0.590778097982709,1.0,86.20689655172413,17.24137931034483,30.434782608695656,44.627686156921534,17,Limited
Charlotte Russe,Value,1075,1.0,16.0,0.5,0.7571428571428571,4.0,45.0,76.66666666666667,54.54545454545454,58.73737373737374,2,Strong
Christian Louboutin,Premium,301,3.3043478260869565,156.0,1.4038461538461537,2.1226415094339623,1.0,100.0,10.344827586206897,100.0,70.11494252873563,4,Limited
Coach,Mid-Market,1391,1.161290322580645,26.0,0.6153846153846154,0.6587096774193548,6.0,86.8421052631579,54.385964912280706,63.63636363636363,68.28814460393407,6,Strong
Converse,Mid-Market,3204,0.9666666666666666,26.0,0.5,0.7222222222222222,2.0,59.64912280701754,86.8421052631579,90.9090909090909,79.13343965975545,3,Moderate
Converse Shoes,Mid-Market,141,0.875,24.0,0.5,0.7666666666666667,1.0,40.35087719298245,86.8421052631579,96.96969696969697,74.72089314194578,4,Limited
Crocs,Mid-Market,389,0.7,16.0,0.5,0.7089743589743589,2.0,1.7543859649122806,86.8421052631579,84.84848484848484,57.814992025518336,10,Moderate
Dolce Vita,Mid-Market,118,0.8888888888888888,24.0,0.8333333333333334,0.6818181818181818,1.0,43.859649122807014,7.017543859649122,81.81818181818183,44.23179160021266,24,Limited
Dr. Martens,Premium,442,0.8000000000000002,50.0,0.62,0.696969696969697,1.0,17.24137931034483,75.86206896551724,47.82608695652174,46.97651174412794,16,Limited
FOREVER 21,Value,828,1.0,16.0,0.5,0.7207792207792207,4.0,45.0,76.66666666666667,45.45454545454545,55.707070707070706,3,Strong
Fila,Value,67,0.9047619047619047,18.0,0.5,0.6153846153846154,1.0,23.333333333333332,76.66666666666667,9.090909090909092,36.36363636363637,11,Limited
Free People,Premium,149,0.9272727272727274,58.0,0.8275862068965517,0.9661384644406716,2.0,27.586206896551722,55.172413793103445,86.95652173913044,56.571714142928535,9,Moderate
Frye,Premium,236,1.4171428571428573,81.0,0.7314814814814815,0.6422764227642277,1.0,75.86206896551724,62.06896551724138,34.78260869565217,57.5712143928036,8,Limited
GUESS,Mid-Market,354,0.7894736842105263,18.0,0.5416666666666666,0.6268115942028986,2.0,19.298245614035086,77.19298245614034,60.60606060606061,52.36576289207867,17,Moderate
Gucci,Premium,172,1.7936367653557226,87.0,1.1494252873563218,0.85,1.0,82.75862068965517,20.689655172413794,73.91304347826086,59.12043978010994,7,Limited
Hunter,Premium,586,1.2285714285714284,77.0,0.4512987012987013,0.75,1.0,65.51724137931035,93.10344827586206,65.21739130434783,74.61269365317342,2,Limited
Hunter Boots,Premium,112,1.05,64.0,0.50390625,0.7972972972972973,1.0,44.827586206896555,89.65517241379311,69.56521739130434,68.015992003998,5,Limited
Jack Rogers,Premium,111,0.7608695652173912,34.0,0.6176470588235294,1.0434782608695652,1.0,13.793103448275861,79.3103448275862,95.65217391304348,62.918540729635176,6,Limited
Jeffery Campbell,Premium,147,0.9285714285714286,51.0,0.8431372549019608,0.5162790697674419,1.0,31.03448275862069,51.724137931034484,13.043478260869565,31.934032983508246,20,Limited
Jessica Simpson,Mid-Market,335,0.9523809523809523,21.0,0.5238095238095238,0.7755102040816326,1.0,57.89473684210527,80.7017543859649,100.0,79.53216374269006,1,Limited
Jordans,Premium,181,1.3225806451612903,56.0,0.8928571428571429,0.732824427480916,1.0,72.41379310344827,37.93103448275862,56.52173913043478,55.622188905547226,11,Limited
L.L. Bean,Premium,110,1.2142857142857142,71.0,0.6725352112676056,1.0,1.0,58.620689655172406,72.41379310344827,91.30434782608695,74.11294352823587,3,Limited
Lilly Pulitzer,Premium,69,0.6521739130434782,33.0,0.5757575757575758,0.8571428571428571,1.0,6.896551724137931,82.75862068965517,78.26086956521739,55.97201399300351,10,Limited
Lucky Brand,Mid-Market,312,1.0,23.0,0.75,0.5981125356125356,2.0,64.03508771929825,20.175438596491226,51.515151515151516,45.24189261031366,23,Moderate
Merona,Value,232,1.0,14.0,0.5,0.8784013605442176,2.0,45.0,76.66666666666667,100.0,73.8888888888889,1,Moderate
Michael Kors,Premium,1416,0.6428571428571429,31.0,0.7096774193548387,0.6435312908378104,6.0,3.4482758620689653,65.51724137931035,39.130434782608695,36.03198400799601,19,Strong
Mossimo,Value,500,1.0,14.0,0.6428571428571429,0.7870967741935484,4.0,45.0,15.0,72.72727272727273,44.24242424242425,7,Strong
New Balance,Mid-Market,436,0.7857142857142857,26.0,0.6923076923076923,0.5217391304347826,1.0,15.789473684210526,28.947368421052634,24.242424242424242,22.993088782562467,31,Limited
Nike,Mid-Market,8969,1.0655737704918031,36.0,0.8888888888888888,0.5106382978723404,3.0,73.68421052631578,5.263157894736842,21.21212121212121,33.38649654439127,27,Moderate
Nine West,Mid-Market,428,0.8235294117647058,18.0,0.5555555555555556,0.6666666666666666,3.0,26.31578947368421,71.9298245614035,71.21212121212122,56.485911749069636,12,Moderate
Nordstrom,Mid-Market,261,1.2352941176470589,30.0,0.8,0.565640758129021,2.0,94.73684210526315,10.526315789473683,36.36363636363637,47.208931419457734,21,Moderate
Old Navy,Value,285,0.8333333333333334,12.0,0.5833333333333334,0.8571428571428572,2.0,11.666666666666666,40.0,90.9090909090909,47.52525252525252,6,Moderate
PINK,Mid-Market,1160,1.0689655172413792,29.0,0.4827586206896552,0.6666666666666666,1.0,75.43859649122807,91.22807017543859,71.21212121212122,79.29292929292929,2,Limited
PUMA,Premium,732,0.9660138248847927,45.0,1.2444444444444445,0.5833333333333334,3.0,37.93103448275862,13.793103448275861,21.73913043478261,24.48775612193903,23,Moderate
Reebok,Mid-Market,331,0.7857142857142857,26.0,0.6153846153846154,0.7575757575757576,1.0,15.789473684210526,54.385964912280706,93.93939393939394,54.70494417862839,13,Limited
Roxy,Value,118,1.0,15.0,0.5166666666666667,0.6896551724137931,1.0,45.0,63.33333333333333,36.36363636363637,48.23232323232323,5,Limited
SKECHERS,Value,654,1.0892857142857144,20.0,0.6,0.6234817813765182,4.0,76.66666666666667,30.0,18.181818181818183,41.61616161616162,8,Strong
Sam Edelman,Mid-Market,259,1.176470588235294,30.0,0.6666666666666666,0.6666666666666666,3.0,89.47368421052632,36.84210526315789,71.21212121212122,65.84263689526847,7,Moderate
Sanuk,Mid-Market,123,0.9047619047619048,20.0,0.5,0.72,1.0,49.122807017543856,86.8421052631579,87.87878787878788,74.61456671982988,5,Limited
Sperry,Mid-Market,288,1.125,25.0,0.56,0.43137254901960786,1.0,78.94736842105263,67.54385964912281,6.0606060606060606,50.85061137692717,19,Limited
Sperrys,Mid-Market,339,1.0476190476190477,25.0,0.56,0.5833333333333334,1.0,70.17543859649122,67.54385964912281,43.93939393939394,60.55289739500265,9,Limited
Steve Madden,Mid-Market,1680,1.0,24.0,0.7604166666666666,0.6814345991561181,6.0,64.03508771929825,15.789473684210526,78.78787878787878,52.87081339712918,15,Strong
Stuart Weitzman,Premium,56,2.5483405483405486,150.0,2.045,0.7452830188679245,1.0,89.65517241379311,3.4482758620689653,60.86956521739131,51.32433783108447,13,Limited
TOMS,Mid-Market,988,1.0,21.0,0.6190476190476191,0.5903225806451613,4.0,64.03508771929825,49.122807017543856,48.484848484848484,53.88091440723019,14,Strong
The North Face,Mid-Market,67,1.129032258064516,39.0,0.6410256410256411,0.625,1.0,80.7017543859649,44.73684210526316,57.57575757575758,61.00478468899521,8,Limited
Timberland,Mid-Market,445,1.4838709677419353,50.0,0.7,0.54375,1.0,100.0,25.438596491228072,27.27272727272727,50.90377458798511,18,Limited
Tommy Hilfiger,Mid-Market,109,0.8333333333333334,21.0,0.7619047619047619,0.49056603773584906,1.0,28.07017543859649,14.035087719298245,15.151515151515152,19.085592769803295,33,Limited
Tory Burch,Premium,1721,1.2826086956521736,61.0,0.8852459016393442,0.7118055555555556,3.0,68.96551724137932,44.827586206896555,52.17391304347826,55.322338830584705,12,Moderate
UGG,Mid-Market,83,1.161290322580645,39.0,0.9871794871794872,0.4012345679012346,1.0,86.8421052631579,3.508771929824561,3.0303030303030303,31.1270600744285,28,Limited
UGG Australia,Premium,3304,0.9428571428571428,55.0,0.8181818181818182,0.5166666666666667,3.0,34.48275862068966,58.620689655172406,17.391304347826086,36.83158420789605,18,Moderate
Under Armour,Mid-Market,280,0.7857142857142857,25.0,0.76,0.5536963036963037,2.0,15.789473684210526,17.543859649122805,33.33333333333333,22.222222222222218,32,Moderate
VANS,Mid-Market,2445,0.9473684210526315,26.0,0.6538461538461539,0.5833333333333334,3.0,56.14035087719298,41.228070175438596,43.93939393939394,47.102604997341835,22,Moderate
Victoria's Secret,Mid-Market,280,1.0,28.0,0.5714285714285714,0.5535714285714286,1.0,64.03508771929825,64.03508771929825,30.303030303030305,52.791068580542266,16,Limited
Vince Camuto,Mid-Market,267,1.2105263157894737,31.0,0.8064516129032258,0.6666666666666666,3.0,92.98245614035088,8.771929824561402,71.21212121212122,57.655502392344495,11,Moderate
Wet Seal,Value,128,0.8333333333333334,13.0,0.6153846153846154,0.8043478260869565,2.0,11.666666666666666,23.333333333333332,81.81818181818183,38.939393939393945,10,Moderate
ZARA,Mid-Market,209,1.1199999999999999,28.0,0.75,0.608446519524618,4.0,77.19298245614034,20.175438596491226,54.54545454545454,50.637958532695365,20,Strong
adidas Originals,Premium,263,1.1219512195121952,65.0,1.0,0.43591002044989774,2.0,55.172413793103445,31.03448275862069,4.3478260869565215,30.18490754622688,21,Moderate
rue,Value,73,0.9,15.0,0.3333333333333333,0.6666666666666666,1.0,18.333333333333332,100.0,27.27272727272727,48.53535353535353,4,Limited
